"Story","Title","Result","Date","Stability","Duration (s)"
"Buscar Producto","Buscar un producto","SUCCESS","2019-04-07T18:54:03.7038125-05:00[America/Bogota]","0.0","27.55"
"Seleccionar un producto","Seleccionar un producto de la lista de resultados","FAILURE","2019-04-07T18:54:31.2583562-05:00[America/Bogota]","0.0","12.61"
