"Story","Title","Result","Date","Stability","Duration (s)"
"A�ardir producto al carrito de compras","A�ardir producto al carrito de compras","SUCCESS","2019-04-08T08:19:14.4467135-05:00[America/Bogota]","0.0","26.99"
"Buscar Producto","Buscar un producto","SUCCESS","2019-04-08T08:19:41.4431214-05:00[America/Bogota]","0.0","13.29"
