"Story","Title","Result","Date","Stability","Duration (s)"
"A�ardir producto al carrito de compras","A�ardir producto al carrito de compras","FAILURE","2019-04-07T20:40:29.7097726-05:00[America/Bogota]","0.0","39.84"
"Seleccionar un producto","Seleccionar un producto de la lista de resultados","FAILURE","2019-04-07T20:41:24.5378111-05:00[America/Bogota]","0.0","13.03"
