"Story","Title","Result","Date","Stability","Duration (s)"
"A�ardir producto al carrito de compras","A�ardir producto al carrito de compras","SUCCESS","2019-04-09T20:30:40.059635-05:00[America/Bogota]","0.0","35.49"
"Buscar Producto","Buscar un producto","SUCCESS","2019-04-09T20:31:15.5535503-05:00[America/Bogota]","0.0","14.23"
